m_id,m_nombre,m_estado
10001,Aguascalientes,1
10002,Asientos,1
10003,Calvillo,1
10004,Cosío,1
10005,El Llano,1
10006,Jesús María,1
10007,Pabellón de Arteaga,1
10008,Rincón de Romos,1
10009,San Francisco de los Romo,1
10010,San José de Gracia,1
10011,Tepezalá,1
20001,Ensenada,2
20002,Mexicali,2
20003,Playas de Rosarito,2
20004,San Felipe,2
20005,San Quintín,2
20006,Tecate,2
20007,Tijuana,2
30001,Comondú,3
30002,La Paz,3
30003,Loreto,3
30004,Los Cabos,3
30005,Mulegé,3
40001,Calakmul,4
40002,Calkiní,4
40003,Campeche,4
40004,Candelaria,4
40005,Carmen,4
40006,Champotón,4
40007,Dzitbalché,4
40008,Escárcega,4
40009,Hecelchakán,4
40010,Hopelchén,4
40011,Palizada,4
40012,Seybaplaya,4
40013,Tenabo,4
50001,Abasolo,5
50002,Acuña,5
50003,Allende,5
50004,Arteaga,5
50005,Candela,5
50006,Castaños,5
50007,Cuatro Ciénegas,5
50008,Escobedo,5
50009,Francisco I. Madero,5
50010,Frontera,5
50011,General Cepeda,5
50012,Guerrero,5
50013,Hidalgo,5
50014,Jiménez,5
50015,Juárez,5
50016,Lamadrid,5
50017,Matamoros,5
50018,Monclova,5
50019,Morelos,5
50020,Múzquiz,5
50021,Nadadores,5
50022,Nava,5
50023,Ocampo,5
50024,Parras,5
50025,Piedras Negras,5
50026,Progreso,5
50027,Ramos Arizpe,5
50028,Sabinas,5
50029,Sacramento,5
50030,Saltillo,5
50031,San Buenaventura,5
50032,San Juan de Sabinas,5
50033,San Pedro,5
50034,Sierra Mojada,5
50035,Torreón,5
50036,Viesca,5
50037,Villa Unión,5
50038,Zaragoza,5
60001,Armería,6
60002,Colima,6
60003,Comala,6
60004,Coquimatlán,6
60005,Cuauhtémoc,6
60006,Ixtlahuacán,6
60007,Manzanillo,6
60008,Minatitlán,6
60009,Tecomán,6
60010,Villa de Álvarez,6
70001,Acacoyagua,7
70002,Acala,7
70003,Acapetahua,7
70004,Aldama,7
70005,Altamirano,7
70006,Amatán,7
70007,Amatenango de la Frontera,7
70008,Amatenango del Valle,7
70009,Ángel Albino Corzo,7
70010,Arriaga,7
70011,Bejucal de Ocampo,7
70012,Bella Vista,7
70013,Benemérito de las Américas,7
70014,Berriozábal,7
70015,Bochil,7
70016,Cacahoatán,7
70017,Capitán Luis Ángel Vidal,7
70018,Catazajá,7
70019,Chalchihuitán,7
70020,Chamula,7
70021,Chanal,7
70022,Chapultenango,7
70023,Chenalhó,7
70024,Chiapa de Corzo,7
70025,Chiapilla,7
70026,Chicoasén,7
70027,Chicomuselo,7
70028,Chilón,7
70029,Cintalapa de Figueroa,7
70030,Coapilla,7
70031,Comitán de Domínguez,7
70032,Copainalá,7
70033,El Bosque,7
70034,El Parral,7
70035,El Porvenir,7
70036,Emiliano Zapata,7
70037,Escuintla,7
70038,Francisco León,7
70039,Frontera Comalapa,7
70040,Frontera Hidalgo,7
70041,Honduras de la Sierra,7
70042,Huehuetán,7
70043,Huitiupán,7
70044,Huixtán,7
70045,Huixtla,7
70046,Ixhuatán,7
70047,Ixtacomitán,7
70048,Ixtapa,7
70049,Ixtapangajoya,7
70050,Jiquipilas,7
70051,Jitotol,7
70052,Juárez,7
70053,La Concordia,7
70054,La Grandeza,7
70055,La Independencia,7
70056,La Libertad,7
70057,La Trinitaria,7
70058,Larráinzar,7
70059,Las Margaritas,7
70060,Las Rosas,7
70061,Mapastepec,7
70062,Maravilla Tenejapa,7
70063,Marqués de Comillas,7
70064,Mazapa de Madero,7
70065,Mazatán,7
70066,Metapa,7
70067,Mezcalapa,7
70068,Mitontic,7
70069,Montecristo de Guerrero,7
70070,Motozintla,7
70071,Nicolás Ruíz,7
70072,Ocosingo,7
70073,Ocotepec,7
70074,Ocozocoautla de Espinosa,7
70075,Ostuacán,7
70076,Osumacinta,7
70077,Oxchuc,7
70078,Palenque,7
70079,Pantelhó,7
70080,Pantepec,7
70081,Pichucalco,7
70082,Pijijiapan,7
70083,Pueblo Nuevo Solistahuacán,7
70084,Rayón,7
70085,Reforma,7
70086,Rincón Chamula San Pedro,7
70087,Sabanilla,7
70088,Salto de Agua,7
70089,San Andrés Duraznal,7
70090,San Cristóbal de las Casas,7
70091,San Fernando,7
70092,San Juan Cancuc,7
70093,San Lucas,7
70094,Santiago el Pinar,7
70095,Siltepec,7
70096,Simojovel,7
70097,Sitalá,7
70098,Socoltenango,7
70099,Solosuchiapa,7
70100,Soyaló,7
70101,Suchiapa,7
70102,Suchiate,7
70103,Sunuapa,7
70104,Tapachula,7
70105,Tapalapa,7
70106,Tapilula,7
70107,Tecpatán,7
70108,Tenejapa,7
70109,Teopisca,7
70110,Tila,7
70111,Tonalá,7
70112,Totolapa,7
70113,Tumbalá,7
70114,Tuxtla Chico,7
70115,Tuxtla Gutiérrez,7
70116,Tuzantán,7
70117,Tzimol,7
70118,Unión Juárez,7
